Date_Stamp,Time_Stamp,Server_Alpha_Status,Server_Numerical_Status
2019-12-13,13:06:52,server down,0
2019-12-13,13:06:52,server down,0
2019-12-13,13:06:52,server down,0
2019-12-13,13:06:53,server down,0
2019-12-13,13:06:53,server down,0
2019-12-13,13:06:53,server down,0
2019-12-13,13:06:53,server down,0
2019-12-13,13:06:53,server down,0
2019-12-13,13:06:53,server down,0
2019-12-13,13:06:53,server down,0
2019-12-13,13:06:53,server down,0
2019-12-13,13:06:53,server down,0
2019-12-13,13:06:53,server down,0
2019-12-13,13:06:53,server down,0
2019-12-13,13:06:53,server down,0
2019-12-13,13:06:54,server up,1
2019-12-13,13:06:54,server up,1
2019-12-13,13:06:55,server up,1
2019-12-13,13:06:55,server up,1
2019-12-13,13:06:55,server up,1
2019-12-13,13:06:56,server up,1
2019-12-13,13:06:57,server up,1
2019-12-13,13:06:57,server up,1
2019-12-13,13:06:58,server up,1
2019-12-13,13:06:58,server down,0
2019-12-13,13:06:58,server down,0
2019-12-13,13:06:58,server down,0
2019-12-13,13:06:58,server down,0
2019-12-13,13:06:58,server down,0
2019-12-13,13:06:58,server down,0
2019-12-13,13:06:58,server down,0
2019-12-13,13:06:58,server down,0
2019-12-13,13:06:58,server down,0
2019-12-13,13:06:58,server down,0
2019-12-13,13:06:58,server down,0
2019-12-13,13:06:58,server down,0
2019-12-13,13:06:58,server down,0
2019-12-13,13:06:58,server down,0
2019-12-13,13:06:58,server down,0
2019-12-13,13:06:58,server down,0
2019-12-13,13:06:58,server down,0
2019-12-13,13:06:58,server down,0
2019-12-13,13:06:58,server down,0
2019-12-13,13:06:58,server down,0
2019-12-13,13:06:58,server down,0
2019-12-13,13:06:58,server down,0
2019-12-13,13:06:58,server down,0
2019-12-13,13:06:58,server down,0
2019-12-13,13:06:58,server down,0
2019-12-13,13:06:58,server down,0
2019-12-13,13:06:59,server down,0
2019-12-13,13:06:59,server down,0
2019-12-13,13:06:59,server down,0
2019-12-13,13:06:59,server down,0
2019-12-13,13:06:59,server down,0
2019-12-13,13:06:59,server down,0
2019-12-13,13:06:59,server down,0
2019-12-13,13:06:59,server down,0
2019-12-13,13:06:59,server down,0
2019-12-13,13:06:59,server down,0
2019-12-13,13:06:59,server down,0
